customer_city,customer_state,lat,lon
franca,SP,-20.5352,-47.4039
sao bernardo do campo,SP,-23.6914,-46.5646
sao paulo,SP,-23.5329,-46.6395
mogi das cruzes,SP,-23.5208,-46.1854
campinas,SP,-22.9053,-47.0659
jaragua do sul,SC,-26.4851,-49.0713
timoteo,MG,-19.5811,-42.6471
curitiba,PR,-25.4195,-49.2646
belo horizonte,MG,-19.9102,-43.9266
montes claros,MG,-16.7282,-43.8578
rio de janeiro,RJ,-22.9129,-43.2003
lencois paulista,SP,-22.6027,-48.8037
caxias do sul,RS,-29.1629,-51.1792
piracicaba,SP,-22.7338,-47.6476
guarulhos,SP,-23.4538,-46.5333
pacaja,PA,-3.83542,-50.6399
florianopolis,SC,-27.5945,-48.5477
aparecida de goiania,GO,-16.8198,-49.2469
santo andre,SP,-23.6737,-46.5432
santo andre,SP,-7.22016,-36.6213
goiania,GO,-16.6864,-49.2643
cachoeiro de itapemirim,ES,-20.8462,-41.1198
sao jose dos campos,SP,-23.1896,-45.8841
sao roque,SP,-23.5226,-47.1357
camacari,BA,-12.6996,-38.3263
resende,RJ,-22.4705,-44.4509
sumare,SP,-22.8204,-47.2728
novo hamburgo,RS,-29.6875,-51.1328
sao luis,MA,-2.53874,-44.2825
sao jose,SC,-27.6136,-48.6366
santa barbara,MG,-11.9515,-38.9681
santa barbara,MG,-19.9604,-43.4101
ribeirao preto,SP,-21.1699,-47.8099
ituiutaba,MG,-18.9772,-49.4639
taquarituba,SP,-23.5307,-49.241
sao jose dos pinhais,PR,-25.5313,-49.2031
barrinha,SP,-21.1864,-48.1636
parati,RJ,,
dourados,MS,-22.2231,-54.812
trindade,GO,-16.6517,-49.4927
trindade,GO,-7.759,-40.2647
cascavel,PR,-24.9573,-53.459
cascavel,PR,-4.12967,-38.2412
fortaleza,CE,-3.71664,-38.5423
brasilia,DF,-15.7795,-47.9297
pelotas,RS,-31.7649,-52.3371
porto alegre,RS,-30.0318,-51.2065
salto,SP,-23.1996,-47.2931
jundiai,SP,-23.1852,-46.8974
cacapava,SP,-23.0992,-45.7076
sao vicente,SP,-23.9574,-46.3883
sao vicente,SP,-6.21893,-36.6827
uberlandia,MG,-18.9141,-48.2749
botelhos,MG,-21.6412,-46.391
sao goncalo,RJ,-22.8268,-43.0634
araucaria,PR,-25.5859,-49.4047
nova iguacu,RJ,-22.7556,-43.4603
areia branca,RN,-4.95254,-37.1252
areia branca,RN,-10.758,-37.3251
campos dos goytacazes,RJ,-21.7622,-41.3181
sao carlos,SP,-22.0174,-47.886
sao carlos,SP,-27.0798,-53.0037
itajuba,MG,-22.4225,-45.4598
cruz das almas,BA,-12.6675,-39.1008
vassouras,RJ,-22.4059,-43.6686
feira de santana,BA,-12.2664,-38.9663
niteroi,RJ,-22.8832,-43.1034
sobral,CE,-3.68913,-40.3482
divinopolis,MG,-20.1446,-44.8912
paraiba do sul,RJ,-22.1585,-43.304
paulista,PE,-6.59138,-37.6185
paulista,PE,-7.93401,-34.8684
carapicuiba,SP,-23.5235,-46.8407
bom principio,RS,-29.4856,-51.3548
astolfo dutra,MG,-21.3184,-42.8572
marialva,PR,-23.4843,-51.7928
sao jose do rio preto,SP,-20.8113,-49.3758
cabo frio,RJ,-22.8894,-42.0286
contagem,MG,-19.9321,-44.0539
cafeara,PR,-22.789,-51.7142
sao joaquim da barra,SP,-20.5812,-47.8593
foz do iguacu,PR,-25.5427,-54.5827
suzano,SP,-23.5448,-46.3112
timbo,SC,-26.8246,-49.269
camboriu,SC,-27.0241,-48.6503
nova bassano,RS,-28.7291,-51.7072
rio grande,RS,-32.0349,-52.1071
braganca paulista,SP,-22.9527,-46.5419
barra do garcas,MT,-15.8804,-52.264
embu,SP,,
urussanga,SC,-28.518,-49.3238
silvianopolis,MG,-22.0274,-45.8385
gameleiras,MG,-15.0829,-43.125
belem,PA,-1.4554,-48.4898
belem,PA,-6.74261,-35.5166
belem,PA,-9.57047,-36.4904
pocos de caldas,MG,-21.78,-46.5692
santos,SP,-23.9535,-46.335
piracaia,SP,-23.0525,-46.3594
sinop,MT,-11.8604,-55.5091
guaruja,SP,-23.9888,-46.258
barueri,SP,-23.5057,-46.879
feliz,RS,-29.4527,-51.3032
jambeiro,SP,-23.2522,-45.6942
ipatinga,MG,-19.4703,-42.5476
tupa,SP,-21.9335,-50.5191
blumenau,SC,-26.9155,-49.0709
moncoes,SP,-20.8509,-50.0975
balneario camboriu,SC,-26.9926,-48.6352
vargem grande,MA,-3.53639,-43.917
rio brilhante,MS,-21.8033,-54.5427
eugenopolis,MG,-21.1002,-42.1878
paulinia,SP,-22.7542,-47.1488
apucarana,PR,-23.55,-51.4635
recife,PE,-8.04666,-34.8771
osasco,SP,-23.5324,-46.7916
valinhos,SP,-22.9698,-46.9974
manaus,AM,-3.11866,-60.0212
cidreira,RS,-30.1604,-50.2337
santiago,RS,-29.1897,-54.8666
sao sepe,RS,-30.1643,-53.5603
alta floresta,MT,-9.86674,-56.0867
jaboatao dos guararapes,PE,-8.11298,-35.015
ibatiba,ES,-20.2347,-41.5087
hortolandia,SP,-22.8529,-47.2143
cotia,SP,-23.6022,-46.919
macae,RJ,-22.3768,-41.7848
saudades,SC,-26.9317,-53.0021
macapa,AP,0.034934,-51.0694
salto de pirapora,SP,-23.6474,-47.5743
taboao da serra,SP,-23.6019,-46.7526
bom jesus,GO,-26.7326,-52.3919
bom jesus,GO,-28.6697,-50.4295
bom jesus,GO,-9.07124,-44.359
bom jesus,GO,-5.98648,-35.5792
bom jesus,GO,-6.81601,-38.6453
santa cruz do rio pardo,SP,-22.8988,-49.6354
diadema,SP,-23.6813,-46.6205
santa ines,BA,-13.2793,-39.814
santa ines,BA,-22.6376,-51.9024
santa ines,BA,-7.621,-38.554
santa ines,BA,-3.65112,-45.3774
serrinha,BA,-6.28181,-35.5
serrinha,BA,-11.6584,-39.01
votorantim,SP,-23.5446,-47.4388
itatiaia,RJ,-22.4897,-44.5675
duque de caxias,RJ,-22.7858,-43.3049
varre-sai,RJ,-20.9276,-41.8701
vila velha,ES,-20.3417,-40.2875
mangaratiba,RJ,-22.9594,-44.0409
atibaia,SP,-23.1171,-46.5563
salvador,BA,-12.9718,-38.5011
maceio,AL,-9.66599,-35.735
birigui,SP,-21.291,-50.3432
petropolis,RJ,-22.52,-43.1926
sao pedro,SP,-5.90559,-35.6317
sao pedro,SP,-22.5483,-47.9096
jaguariaiva,PR,-24.2439,-49.7066
franco da rocha,SP,-23.3229,-46.729
pindamonhangaba,SP,-22.9246,-45.4613
irati,PR,-25.4697,-50.6493
irati,PR,-26.6539,-52.8955
ribeira,SP,-24.6517,-49.0044
barbacena,MG,-21.2214,-43.7703
limoeiro,PE,-7.8726,-35.4402
espigao do oeste,RO,,
belford roxo,RJ,-22.764,-43.3992
coronel fabriciano,MG,-19.5179,-42.6276
itanhaem,SP,-24.1736,-46.788
bebedouro,SP,-20.9491,-48.4791
americana,SP,-22.7374,-47.3331
uba,MG,-21.1204,-42.9359
arapongas,PR,-23.4153,-51.4259
vinhedo,SP,-23.0302,-46.9833
itajai,SC,-26.9101,-48.6705
bauru,SP,-22.3246,-49.0871
pradopolis,SP,-21.3626,-48.0679
aripuana,MT,-10.1723,-59.4568
guaratinga,BA,-16.5833,-39.7847
ponta pora,MS,-22.5296,-55.7203
aracatuba,SP,-21.2076,-50.4401
volta redonda,RJ,-22.5202,-44.0996
maringa,PR,-23.4205,-51.9333
araraquara,SP,-21.7845,-48.178
matipo,MG,-20.2873,-42.3401
santo antonio da patrulha,RS,-29.8268,-50.5175
barra mansa,RJ,-22.5481,-44.1752
diamantina,MG,-18.2413,-43.6031
mairinque,SP,-23.5398,-47.185
capitao leonidas marques,PR,-25.4816,-53.6112
sao sebastiao do paraiso,MG,-20.9167,-46.9837
rosario do sul,RS,-30.2515,-54.9221
itaguai,RJ,-22.8636,-43.7798
paraopeba,MG,-19.2732,-44.4044
guarapuava,PR,-25.3902,-51.4623
crisolita,MG,-17.2381,-40.9184
pirai,RJ,-22.6215,-43.9081
linhares,ES,-19.3946,-40.0643
agudos,SP,-22.4694,-48.9863
sao joao de meriti,RJ,-22.8058,-43.3729
navegantes,SC,-26.8943,-48.6546
pirassununga,SP,-21.996,-47.4257
faxinal dos guedes,SC,-26.8451,-52.2596
criciuma,SC,-28.6723,-49.3729
nova venecia,ES,-18.715,-40.4053
passo fundo,RS,-28.2576,-52.4091
ibia,MG,-19.4749,-46.5474
manhuacu,MG,-20.2572,-42.028
altamira,PA,-3.20407,-52.21
aperibe,RJ,-21.6252,-42.1017
